seconds,APL',R,G,B
157,27.1,28.5,26.4,28.8
158,40.2,58.3,59.6,73.2
159,40.1,58.1,59.4,73.0
160,39.9,57.8,59.1,72.7
161,39.7,57.6,58.9,72.5
162,39.5,57.4,58.6,72.2
163,33.2,34.0,34.0,40.9
164,33.3,34.1,34.2,41.2
165,36.1,29.4,32.9,50.1
166,36.1,29.4,32.9,50.0
167,36.1,29.4,32.7,49.5
168,35.8,28.8,31.8,47.6
169,35.3,27.7,30.5,44.9
170,34.7,26.7,29.1,42.1
171,34.2,25.6,27.8,39.8
172,33.6,24.4,26.4,37.1
173,28.2,21.6,22.5,28.6
174,28.1,21.4,22.3,28.5
175,28.1,21.3,22.2,28.3
176,40.1,64.5,68.7,87.5
177,40.3,65.3,69.3,88.1
178,40.5,66.4,70.4,89.1
179,37.0,43.9,49.2,65.0
180,37.1,44.0,49.3,65.2
181,37.2,44.9,50.2,66.1
182,37.3,46.4,51.7,67.7
183,36.4,45.3,46.8,54.5
184,36.7,45.3,46.7,54.3
185,37.5,46.8,48.4,57.0
186,37.4,57.0,59.6,71.8
187,37.7,57.2,59.9,72.2
188,37.1,56.6,59.3,71.5
189,31.0,31.1,32.5,40.4
190,31.6,34.4,35.6,43.9
191,33.3,38.9,44.6,67.6
192,33.2,39.1,44.6,67.5
193,33.1,38.9,44.6,67.2
194,33.4,38.9,44.7,67.2
195,27.0,24.8,19.6,16.0
196,24.4,19.9,17.3,12.0
197,28.0,24.9,19.9,19.1
198,32.8,30.0,24.4,22.3
199,32.8,29.9,24.4,22.2
200,33.0,44.6,36.3,30.5
201,33.0,44.6,36.3,30.5
202,33.2,36.6,29.4,18.9
203,33.3,36.7,29.4,19.0
204,33.3,36.8,29.5,19.0
205,33.3,36.9,29.6,19.1
206,41.4,77.3,65.1,62.9
207,41.4,77.2,65.1,62.8
208,41.4,77.1,65.0,62.8
209,41.4,77.2,65.1,62.8
210,41.3,78.1,65.4,62.8
211,40.4,70.2,48.5,25.7
212,40.4,69.8,48.2,25.7
213,31.7,33.9,23.8,16.6
214,33.1,38.9,26.6,18.0
215,40.4,66.1,57.1,42.3
216,42.2,71.8,53.6,42.4
217,44.1,85.1,67.9,60.2
218,38.7,65.7,49.9,66.4
219,35.6,64.1,47.6,37.2
220,34.2,49.3,32.8,23.0
221,27.9,31.5,27.8,32.1
222,27.8,31.2,27.7,32.0
223,27.6,29.5,26.3,30.9
224,31.3,39.3,39.8,35.9
225,28.0,29.6,26.1,30.8
226,27.9,30.4,27.1,32.3
227,27.5,28.1,25.0,30.7
228,27.4,27.3,24.1,29.6
229,27.2,26.2,23.1,28.8
230,29.5,34.6,31.9,31.5
231,29.7,36.4,35.5,37.0
232,27.1,25.4,22.6,28.4
233,31.4,48.9,43.5,32.9
234,31.8,51.9,46.4,34.4
235,27.4,27.4,24.4,30.5
236,30.9,35.4,31.6,27.5
237,27.5,26.9,24.8,30.3
238,28.0,31.1,27.5,32.1
239,37.5,72.6,62.2,43.4
240,26.9,25.2,22.8,28.4
241,27.2,27.0,24.4,29.8
242,29.4,23.9,20.1,18.0
243,26.8,26.2,23.5,28.9
244,34.7,46.3,40.9,38.1
245,32.9,34.6,28.7,27.6
246,26.8,25.4,22.9,28.7
247,26.7,25.0,22.8,28.9
248,26.6,24.8,22.5,28.6
249,26.5,24.2,22.0,28.1
250,35.7,42.6,40.2,36.9
251,35.9,41.9,39.6,36.8
252,35.9,42.2,39.9,37.3
253,35.8,43.5,40.9,38.0
254,35.6,40.6,38.6,35.9
255,31.7,37.8,31.4,29.3
256,31.9,38.0,31.6,29.2
257,31.6,37.5,31.2,29.0
258,37.0,43.3,39.3,38.3
259,37.0,42.7,38.8,38.6
260,37.7,44.7,40.6,39.5
261,38.2,46.3,42.3,40.4
262,37.1,42.7,38.8,37.7
263,38.0,37.7,35.0,39.9
264,38.0,38.1,35.0,39.1
265,37.9,37.7,34.4,38.3
266,38.5,40.2,36.7,40.6
267,38.4,39.3,36.6,40.7
268,31.5,37.1,30.9,29.1
269,31.5,37.0,30.8,29.1
270,31.6,37.2,31.0,29.3
271,31.5,37.0,30.8,28.9
272,31.6,37.2,31.0,29.2
273,31.6,37.2,31.1,29.3
274,31.6,37.3,31.1,29.1
275,31.8,37.7,31.4,28.9
276,31.6,37.4,31.2,29.3
277,31.6,37.4,31.1,29.1
278,31.6,37.4,31.2,29.0
279,29.4,33.5,22.5,21.1
280,31.5,32.1,24.9,29.4
281,37.1,41.8,38.9,39.1
282,37.0,41.8,38.7,38.9
283,36.9,41.9,38.6,38.7
284,37.0,41.7,38.4,38.5
285,36.9,41.7,38.4,38.6
286,37.4,42.9,39.4,39.3
287,31.7,37.4,31.2,29.4
288,31.8,37.5,31.4,29.5
289,31.9,37.8,31.7,29.6
290,37.7,37.6,31.6,30.9
291,37.2,34.5,29.5,28.9
292,37.7,37.1,31.6,30.5
293,38.2,46.0,42.6,41.1
294,37.1,43.7,39.9,38.7
295,37.0,43.0,39.3,38.3
296,33.1,43.3,33.9,22.2
297,32.9,42.2,33.2,21.6
298,37.4,44.4,40.7,39.0
299,37.5,44.9,41.2,39.8
